adres,postcode,type,m2,kamers,prijs,prijstype
Toutenburgplantsoen 13,"3077 PP,  Rotterdam",Appartement,61 m²,3 kamers,€ 119.500 k.k.,k.k.
Brigadier Aad de Jonghof 2,"3069 RR,  Rotterdam",Villa,188 m²,6 kamers,€ 839.000 k.k.,k.k.
Wieringerstraat 18 C,"3083 CL,  Rotterdam",Appartement,60 m²,3 kamers,€ 135.000 k.k.,k.k.
Frankenoord 23,"3079 LB,  Rotterdam",Villa,240 m²,6 kamers,€ 725.000 k.k.,k.k.
Jagerstraat 3,"3053 TN,  Rotterdam",Bovenwoning,55 m²,NA,Prijs op aanvraag ,
Burg Meineszlaan 86b2,"3022 BN,  Rotterdam",Bovenwoning,70 m²,NA,Prijs op aanvraag ,
Ganzerikplein 3 C,"3053 EA,  Rotterdam",Bovenwoning,70 m²,NA,€ 137.000 ,
Noorder Kerkedijk 12,"3078 PA,  Rotterdam",Vrijstaande woning,120 m²,3 kamers,€ 317.500 k.k.,k.k.
Slangenburgweg 72,"3077 JL,  Rotterdam",Tussenwoning,115 m²,5 kamers,€ 177.500 k.k.,k.k.
Admiraliteitskade 22 E,"3063 ED,  Rotterdam",Appartement,85 m²,3 kamers,€ 325.000 k.k.,k.k.
Edmond Hellenraadstraat 105,"3067 NT,  Rotterdam",Appartement,90 m²,NA,€ 169.000 k.k.,k.k.
Van Bassenstraat 62,"3067 XE,  Rotterdam",Eengezinswoning,131 m²,NA,€ 269.000 k.k.,k.k.
Saxenoord 26,"3079 LS,  Rotterdam",Eengezinswoning,91 m²,NA,€ 249.000 k.k.,k.k.
Sperwerstraat 2 A,"3082 ME,  Rotterdam",Benedenwoning,55 m²,NA,€ 139.000 k.k.,k.k.
